FOODID;FOODNAME;LANG
437;Lemon juice, unsweetened, diluted;EN
438;Pineapple juice, unsweetened, vitamin c;EN
440;Lingonberry, cowberry;EN
441;Cranberry;EN
442;Blueberry, bilberry;EN
444;Blackcurrant;EN
445;Redcurrant;EN
446;Gooseberry;EN
447;Strawberry;EN
448;Raspberry;EN
449;Cloudberry;EN
450;Mixed berry jam;EN
451;Berry juice, sweetened, undiluted, home-made;EN
452;Blackcurrant juice, sweetened, undiluted, home-made;EN
453;Berry juice, unsweetened, undiluted, home-made;EN
454;Berry, average;EN
455;Sea buckthorn berry;EN
456;Berry marmalade;EN
457;Rowan berry;EN
458;Juice drink, blackcurrant-lingonberry, contains sugar;EN
459;Juice drink, lingonberry, undiluted, contains sugar;EN
461;Berry juice, sweetened, diluted, home-made;EN
462;Blackcurrant juice, sweetened, diluted, home-made;EN
463;Berry juice, unsweetened, diluted, home-made;EN
469;Fruit juice, five fruits, unsweetened, vitamin c;EN
471;Pineapple, canned, in own juice;EN
472;Applesauce, unsweetened;EN
473;Fruit nectar, berry nectar, sweetened, 50% fruit;EN
474;Berry juice, unsweetened;EN
476;Jam, sweetened with fructose;EN
477;Muskmelon/cantaloupe melon, without skin;EN
478;Berry nectar drink, sweetened, contains 50% berries;EN
500;Butter;EN
501;Blended spread 80%;EN
528;Catering fat for deep frying 100%;EN
529;Margarine, pastry, 80% fat, industrial;EN
530;Catering margarine for baking, 80% fat;EN
531;Catering oil, 70% rapeseed oil, 30% palm oil;EN
535;Rapeseed oil;EN
536;Olive oil;EN
537;Peanut oil;EN
540;Sunflower oil;EN
541;Cooking oil, average, 87% rapeseed, 8% sunflower,and 5% olive oil;EN
542;Soybean oil;EN
543;Corn oil, maize oil;EN
550;Lard, frying fat;EN
552;Coconut butter;EN
553;Tallow, beef fat;EN
562;Mayonnaise, 60% fat;EN
563;Salad dressing, french dressing;EN
565;Blended spread 40%, kevyt levi, low-sodium, low-lactose;EN
568;Margarine 60%, rainbow/pirkka/eldorado/k-menu;EN
570;Blended spread 40%, kevyt levi, low-lactose;EN
572;Margarine 40%, lätta;EN
576;Butter, unsalted;EN
578;Mayonnaise, 27-33% fat;EN
579;Salad dressing, <17% fat, low-fat;EN
585;Butter, high-sodium;EN
586;Blended spread 80%, high-sodium;EN
593;Margarine for baking 80%, pirkka/rainbow;EN
597;Blended spread 75%, average of industrial products;EN
598;Butter oil 100%, milkfat;EN
599;Vegetable fat spread 32%, benecol light;EN
600;Milk, raw milk, 4.4 % fat, without added vitamin d;EN
602;Beestings, colostrum;EN
604;Milk, goat milk;EN
606;Milk, 0% fat, i ug added vitamin d;EN
