FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
33009;Marjapiirakka, muropohja ja taikinakansi;DISH;BAK;100;DISH;NONINGR;FRUBPAST;FRUDITOT
33010;Muro, vehnähiutale, fruit & fibre, lidl;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33011;Muro, vehnähiutale, pähkinä, manteli, nut flakers, lidl;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33012;Muro, maissihiutale, caramel flakes, lidl;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33013;Muro, maissihiutale, apple flakes, lidl;DISH;ROAS;100;DISH;NONINGR;CERBRKF;CEBAKTOT
33014;Pizza, special kinkku-bolognese, saarioinen;DISH;BAK;100;DISH;NONINGR;PIZZA;CEBAKTOT
33015;Risotto, kinkkurisotto, jambalaya (kinkku, katkarapu, oliivi);DISH;BOIL;100;DISH;NONINGR;MEATPOT;MEATDTOT
33016;Hapankaalikeitto, keskirasvainen sianliha;DISH;BOIL;100;DISH;NONINGR;MEATSOUP;MEATDTOT
33017;Hirssivelli, kevytmaito, suolaa;DISH;BOIL;100;DISH;NONINGR;PORR;CEBAKTOT
33020;Maustekastike, sweet chili sauce, makea chilikastike;FOOD;MIX;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
33021;Maustetahna, currytahna, mieto, tikka masala;FOOD;MIX;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
33022;Maustetahna, inkivääritahna;FOOD;CANN;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
33023;Inkivääri, juurakko, raaka;FOOD;RAW;100;ROOT;VEGTOT;VEGFRESH;VEGDITOT
33024;Inkivääri, säilötty;FOOD;CANN;60;ROOT;VEGTOT;VEGCANN;VEGDITOT
33026;Soijarouhe, vaalea tai tumma, keitetty, suolaton;DISH;BOIL;100;DISH;NONINGR;VEGPOT;VEGDITOT
33027;Lihapulla, lihapyörykkä, kartanon, lidl;DISH;BAK;100;DISH;NONINGR;MINCMED;MEATDTOT
33028;Lihapulla, lihapyörykkä, enebacken, lidl;DISH;BAK;100;DISH;NONINGR;MINCMED;MEATDTOT
33029;Perunalaatikko, liha-perunasoselaatikko, kartanon, lidl, valmisateria;DISH;BAK;100;DISH;NONINGR;MEATCASS;MEATDTOT
