THSCODE;DESCRIPT;LANG
BAK;Baked in oven;EN
BOIL;Boiled;EN
BOILDR;Boiled, drained;EN
CANN;Canned;EN
DRIE;Dried;EN
FRIE;Fried;EN
FROZ;Frozen;EN
GRIL;Grilled, broiled;EN
IND;Industrial;EN
MASH;Mashed;EN
MIX;Mixed;EN
RAW;No treatment;EN
ROAS;Roasted;EN
SALT;Salted;EN
SEMI;Seniprepared;EN
SMOK;Smoked;EN
SOUR;Soured;EN
X;Not specified;EN
