THSCODE;DESCRIPT;LANG
KG;kg;EN
DL;decilitre;EN
L;l;EN
RKL;tablespoon;EN
TL;teaspoon;EN
KPL_S;small piece;EN
KPL_M;medium-sized piece;EN
KPL_L;big piece;EN
KPL_VALM;Manufacturer (piece);EN
PORTS;small portion;EN
PORTM;medium-sized portion;EN
PORTL;big portion;EN
PORTTBL;Food composition table portion;EN
PORT1000KJ;Portion equivalent with 1000 kJ energy;EN
