FOODID;SPECDIET
1;GLUTFREE
1;MILKFREE
1;LACOVEGE
1;LACSFREE
1;LACVEGE
1;VEGAN
1;EGGFREE
1;SALTFREE
1;NAGLUFRE
1;SOYAFREE
1;LOWPROT
1;CHOLFREE
1;FATFREE
2;GLUTFREE
2;MILKFREE
2;LACOVEGE
2;LACSFREE
2;LACVEGE
2;VEGAN
2;EGGFREE
2;SALTFREE
2;FRUSWEET
2;LOWPROT
2;NAGLUFRE
2;SOYAFREE
3;GLUTFREE
3;MILKFREE
3;LACOVEGE
3;LACSFREE
3;LACVEGE
3;VEGAN
3;EGGFREE
3;LOWPROT
3;NAGLUFRE
3;SALTFREE
3;SOYAFREE
4;GLUTFREE
4;MILKFREE
4;LACSFREE
4;LACVEGE
4;EGGFREE
4;LACOVEGE
4;LOWPROT
4;NAGLUFRE
4;SALTFREE
4;SOYAFREE
6;LACOVEGE
6;LACVEGE
6;EGGFREE
7;LACOVEGE
8;MILKFREE
8;LACOVEGE
8;LACSFREE
8;LACVEGE
8;VEGAN
8;EGGFREE
9;GLUTFREE
9;MILKFREE
9;LACOVEGE
9;LACSFREE
9;LACVEGE
9;VEGAN
9;EGGFREE
9;NAGLUFRE
9;SALTFREE
9;SOYAFREE
9;LOWPROT
11;GLUTFREE
11;LACOVEGE
11;LACVEGE
11;EGGFREE
11;NAGLUFRE
11;SOYAFREE
12;MILKFREE
12;LACOVEGE
12;LACSFREE
12;LACVEGE
12;VEGAN
12;EGGFREE
12;LOWPROT
14;LACOVEGE
20;GLUTFREE
20;MILKFREE
20;LACOVEGE
20;LACSFREE
20;LACVEGE
20;VEGAN
20;EGGFREE
20;SALTFREE
20;NAGLUFRE
20;SOYAFREE
20;UNSWEET
21;GLUTFREE
21;LACOVEGE
21;LACVEGE
21;EGGFREE
21;NAGLUFRE
24;GLUTFREE
24;MILKFREE
24;LACOVEGE
24;LACSFREE
24;LACVEGE
24;VEGAN
24;EGGFREE
24;NAGLUFRE
24;LOWPROT
24;SALTFREE
24;SOYAFREE
24;ARTSWEET
25;GLUTFREE
25;MILKFREE
25;EGGFREE
25;SALTFREE
25;SOYAFREE
25;UNSWEET
25;NAGLUFRE
26;GLUTFREE
26;MILKFREE
26;LACOVEGE
26;LACSFREE
26;LACVEGE
26;VEGAN
26;EGGFREE
26;UNSWEET
26;SOYAFREE
26;SALTFREE
26;NAGLUFRE
27;GLUTFREE
27;MILKFREE
27;LACOVEGE
27;LACSFREE
27;LACVEGE
27;VEGAN
27;EGGFREE
27;SALTFREE
27;UNSWEET
27;SOYAFREE
27;NAGLUFRE
27;LOWPROT
28;MILKFREE
28;LACOVEGE
28;LACSFREE
28;LACVEGE
28;VEGAN
28;HIGHSALT
28;EGGFREE
28;SOYAFREE
29;GLUTFREE
29;MILKFREE
29;LACSFREE
29;EGGFREE
29;NAGLUFRE
29;SOYAFREE
29;LOWPROT
30;GLUTFREE
30;MILKFREE
30;LACOVEGE
30;LACSFREE
30;LACVEGE
30;VEGAN
30;EGGFREE
30;NAGLUFRE
30;SOYAFREE
30;UNSWEET
30;VITAMADD
30;LOWPROT
31;GLUTFREE
31;MILKFREE
31;LACOVEGE
31;LACSFREE
31;LACVEGE
31;VEGAN
31;HIGHSALT
31;EGGFREE
31;NAGLUFRE
31;UNSWEET
