FOODID;FOODNAME;LANG
11064;Agaricus bisporus;TX
11065;Rosa rugosa;TX
11067;Thunnus alalunga;TX
11071;Mangifera indica, carica papaya;TX
11074;Medicago sativa;TX
11086;Anacardium occidentale;TX
11089;Cicer arietinum;TX
11090;Phaseolus vulgaris;TX
11134;Ocimum basilicum;TX
11135;Phyllostachys spp.;TX
11177;Piper nigrum;TX
11178;Piper nigrum;TX
11182;Capsicum annuum;TX
11184;Cinnamomum verum, c. aromaticum;TX
11185;Syzygium aromaticum;TX
11186;Zingiber officinale;TX
11187;Elettaria cardamomum;TX
11191;Origanum vulgare;TX
11194;Thymus vulgaris;TX
11203;Cucumis melo;TX
11212;Helianthus annuus;TX
11503;Vitis vinifera;TX
11505;Musa sapientum;TX
11511;Solanum tuberosum;TX
11521;Oryza sativa;TX
11557;Citrus limon;TX
11558;Citrus sinensis;TX
11587;Rosa;TX
11589;Armoracia;TX
11680;Solanum tuberosum;TX
11689;Asparagus officinalis l.;TX
11701;Elaeis guineensis;TX
11734;Lentinula edodes;TX
11735;Pleurotus ostreatus;TX
28905;Triticum durum desf.;TX
28908;Hordeum vulgare;TX
28910;Oryza sativa;TX
28911;Oryza sativa;TX
28913;Solanum tuberosum;TX
28914;Solanum tuberosum;TX
28915;Cucumis melo l. var. retuculata/cantalupensis;TX
28916;Malus;TX
28917;Pyrus communis;TX
28918;Prunus domestica;TX
28919;Prunus domestica;TX
28920;Prunus avium, prunus cerasus;TX
28921;Prunus armeniaca;TX
28922;Prunus persica, prunus persica var. nectarina;TX
28923;Ananas comosus;TX
28924;Citrus sinensis;TX
28925;Citrus limon;TX
28926;Citrus paradisi;TX
28931;Citrullus vulgaris/lanatus;TX
28932;Vitis vinifera l.;TX
28933;Persea americana;TX
28934;Musa sapientum;TX
28935;Citrus reticulata;TX
28936;Ficus carica;TX
28937;Phoenix dactylifera;TX
28938;Olea europaea sativa;TX
28939;Actinidia chinensis;TX
28941;Malus domestica;TX
28942;Malus;TX
28944;Cucumis melo;TX
28962;Zea mays;TX
29150;Vaccinium vitis-idaea;TX
29155;Theobroma cacao;TX
29207;Clupea harengus membras;TX
29217;Lactarius rufus;TX
29410;Boletus edulis;TX
29411;Boletus edulis;TX
29510;Pastinaca sativa;TX
29511;Apium graveolens var. rapaceum;TX
29782;Triticum spp.;TX
29822;Zea mays;TX
29823;Zea mays;TX
30190;Avena sativa;TX
30214;Eleocharis dulcis;TX
30223;Lpomoea batatas;TX
30348;Oryza sativa;TX
30602;Solanum tuberosum;TX
30603;Solanum tuberosum;TX
30914;Foeniculum vulgare var. azoricum;TX
30968;Pinus spp.;TX
30991;Linum usitatissimus;TX
31175;Chenopodium quinoa willd;TX
31211;Cucurbita pepo;TX
31212;Pistacia vera;TX
31213;Vigna radiata;TX
31214;Phaseolus vulgaris l.;TX
31216;Vigna angularis;TX
31217;Vigna angularis;TX
31218;Cicer arietinum;TX
31219;Lens culinaris;TX
31225;Lens culinaris;TX
31226;Triticum spelta;TX
31233;Vicia faba;TX
31495;Linum usitatissimum;TX
31555;Punica granatum;TX
32202;Pandalus;TX
32455;Citrus paradisi;TX
33060;Carica papaya;TX
33065;Mangifera indica;TX
33067;Mangifera indica, carica papaya;TX
33095;Carya illinoinensis;TX
33130;Anacardium occidentale;TX
33131;Pistacia vera;TX
33170;Pangasius hypophthalmus;TX
33171;Macruronus novaezelandiae;TX
33211;Oreochromis niloticus;TX
33251;Oreochromis niloticus;TX
33311;Macruronus novaezelandiae;TX
33382;Salmo salar;TX
33408;Coregonus lavaretus;TX
33409;Oncorhynchus mykiss;TX
33414;Oncorhynchus mykiss;TX
33419;Oncorhynchus mykiss;TX
33420;Oncorhynchus mykiss;TX
33433;Ocimum basilicum;TX
33456;Spinacia oleracea;TX
33482;Agaricus bisporus;TX
33494;Capsicum annuum;TX
33499;Glysine max;TX
33501;Glycine max;TX
33559;Fragaria ananassa;TX
33757;Citrus sinensis;TX
33893;Glysine max;TX
33928;Malus;TX
34136;Porphyra spp.;TX
34137;Undaria spp.;TX
34159;Eruca sativa;TX
34228;Spinacia oleracea;TX
34229;Pisum sativum;TX
34230;Diplotaxis muralis;TX
34231;Lactica sativa;TX
34232;Cichorium intybus var. foliosum;TX
34233;Lactuca sativa var. longifolia;TX
34234;Allium cepa;TX
34235;Raphanus sativus var. longipinnatus;TX
34236;Pisum sativum;TX
34237;Valerianelle locusta;TX
34238;Coriandrum sativum;TX
34239;Lactarius trivialis;TX
34240;Canthraellus tubaeformis;TX
34241;Lactarius torminosus;TX
34242;Triticum aestivum;TX
34243;Vicia faba;TX
34244;Pisum sativum var. macrocarpon;TX
34245;Sesamum indicum;TX
34246;Secale cereale;TX
34247;Secale cereale;TX
34248; hardeum vulgare;TX
34249;Triticum aestivum;TX
34252;Coregonus lavaretus;TX
34253;Clupea harengus harengus;TX
34254;Laminaria spp.;TX
34255;Salmo salar;TX
34256;Oncorhynchus mykiss;TX
34361;Mangifera indica;TX
34694;Carica papaya;TX
34743;Vicia faba;TX
34848;Sprattus sprattus;TX
34971;Avena sativa;TX
34972;Olea europaea sativa;TX
