THSCODE;DESCRIPT;LANG
A;Authoritative Document;EN
C;Scientific communication;EN
D;independent laboratory;EN
E;other acquisition type;EN
F;food composition table;EN
I;industry laboratory;EN
L;food label, product information;EN
O;in-house or affiliated laboratory;EN
P;published and peer reviewed scientific paper;EN
S;value created within host-system;EN
X;acquisition type not known;EN
