THSCODE;DESCRIPT;LANG
G;gramma;FI
KCAL;kilokalori;FI
KG;kilogramma;FI
KJ;kilojoule;FI
L;litra;FI
MG;milligramma;FI
ML;millilitra;FI
MMOL;millimooli;FI
NG;nanogramma;FI
R;suhde;FI
UG;mikrogramma;FI
UL;mikrolitra;FI
