THSCODE;DESCRIPT;LANG
G;gram;SV
KCAL;kilokalori;SV
KG;kilogram;SV
KJ;kilojoule;SV
L;liter;SV
MG;milligram;SV
ML;millilitre;SV
MMOL;millimol;SV
NG;nanogram;SV
R;förhållande;SV
UG;mikrogram;SV
UL;mikroliter;SV
