THSCODE;DESCRIPT;LANG
BAK;Uunissa paistettu;FI
BOIL;Keitetty;FI
BOILDR;Keitetty, valutettu;FI
CANN;Säilötty;FI
DRIE;Kuivattu;FI
FRIE;Paistettu;FI
FROZ;Pakastettu;FI
GRIL;Grillattu;FI
IND;Teollinen;FI
MASH;Soseutettu;FI
MIX;Sekoitettu;FI
RAW;Käsittelemätön tai tuore;FI
ROAS;Paahdettu;FI
SALT;Suolattu;FI
SEMI;Puolivalmiste;FI
SMOK;Savustettu;FI
SOUR;Hapatettu;FI
X;Määrittelemätön;FI
